page,file,bytes,sha256,width_px,height_px,ink_left_px,ink_top_px,ink_right_px,ink_bottom_px,outer_5px_ink
1,page-001.png,42086,390065b7523c9c6bfd313fd5b66ea0836cfd7f9746fb51a6b333c107a42935bb,935,1210,138,123,172,648,0
2,page-002.png,178686,0ac248645cc6d8d4ea7a80ada75f5253f67ad75724b945af5d7c9e41887c5657,935,1210,109,134,110,604,0
3,page-003.png,164853,cbdc597a7419d29d9b30e689359fd8e52e47a7471beddc5babd9c37e5884a1c2,935,1210,110,225,110,61,0
4,page-004.png,195462,705a54eeac1c7ee517d380593e725f06032dda9f854865b6c405fc0f110153cc,935,1210,110,74,110,87,0
5,page-005.png,252602,696a4e50d1b0d9ee691eda73675c4cc50d25bfcf939fc0b05cf0c7f9778c9444,935,1210,110,74,110,87,0
6,page-006.png,50700,d82de40142acdb3cc28f60bccdf4d213de14db04253d792029f1c3c949fb8ffc,935,1210,110,74,110,907,0
7,page-007.png,300821,2628be2a11dc1cd4d9aff640b05097c4d873a3b0089c14ceb4021a4d5897f696,935,1210,109,225,109,61,0
8,page-008.png,259610,f96cc6928d017f8a82438b6b2e45f56df15cef63b9116a5b75e083cf22835506,935,1210,110,74,110,387,0
9,page-009.png,81045,1fd904cdba226ac34d77bd75c498cbb33dc50229ba272a707318e9a8390bddbd,935,1210,110,74,110,512,0
10,page-010.png,62154,e0226a723bc1f27bd61be79db2ae12ced0565a8f63d8d17172224434114bf302,935,1210,110,74,109,381,0
11,page-011.png,101804,3ef4deb2c8edbd7f55845bff6c6d07fc035121b50ecbe20780c095663d70f874,935,1210,110,74,110,514,0
12,page-012.png,279165,2e726b4fb75a86d762c53af7b7bff15bf084402e3c5c822a2dd68736c14684a1,935,1210,110,74,109,78,0
13,page-013.png,301811,573b96736c5795e20d51b174ba9908e63e8a997a6408e782d71a9c2999bd0798,935,1210,110,175,110,61,0
14,page-014.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,109,74,109,84,0
15,page-015.png,303435,eae18aa8f397e18d0553a9457a18f628be4686fded5aa6e8af1692c885826181,935,1210,110,74,109,83,0
16,page-016.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,110,74,109,84,0
17,page-017.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,110,74,109,84,0
18,page-018.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,110,74,109,95,0
19,page-019.png,248245,57cd420836f5d4b4f10d346eb08a45dc728583b4c3a7cf42bd9e2707a019fcec,935,1210,109,74,109,84,0
20,page-020.png,246529,93ee874c7f1cf6a155046001412415ae3c3cdb32cf77cd32fb971727db0e3e92,935,1210,110,74,110,84,0
21,page-021.png,252618,39bbede9d78471d27b9fef6ba0862d4e07f56ae2aa154a329d3bfce6c8f52709,935,1210,109,74,109,84,0
22,page-022.png,261700,0e8f9a327d5c846f4b02c5a177aeaf0e442fdc16c9675351895af383333e1216,935,1210,110,74,109,87,0
23,page-023.png,274163,359b891d7abb7b7b404c196240bdf5b46fd89d205ee47db9c8332c37bf893c95,935,1210,110,74,109,87,0
24,page-024.png,257335,5db498307d031609030291d5522324e5cc82d8092a816972d3665119545a6027,935,1210,109,74,109,84,0
25,page-025.png,323751,fd7e84191556103b6b10660f6854ee08ec3dbb1a1ee0b883b2f7202c54dfad23,935,1210,110,74,109,84,0
26,page-026.png,320275,1d952f1f2fecab915d8b169deddbb598f71c3c6718e6d8ca12ebcaa2d6656ce7,935,1210,109,74,109,84,0
27,page-027.png,181735,c0a06c2a452510559880a798805a3ddafd0fd9d4efbc8bec8929eb50be53340a,935,1210,109,74,109,456,0
28,page-028.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
29,page-029.png,279928,13bbf9ba238b728f462fd0d71324f292b8a142288177dfca70367fa175c6151b,935,1210,110,175,110,60,0
30,page-030.png,325519,b4f09fbbe6c4792fed3e1c1a887d732db3f7e996713b5bc7a32d6ef606337985,935,1210,110,74,110,84,0
31,page-031.png,354155,1f4ff9d2173d824734299b44d997508568670ec693afa32e83b5ff09a949980c,935,1210,110,74,110,84,0
32,page-032.png,337096,4ba38a1c2833b38438989d0e346c02a24627b9e92a7fa0024f3eeab9931eff29,935,1210,109,74,109,84,0
33,page-033.png,328348,c3bdbb515b6e06f82a8d35fa81349ec31d582ad7a307348bb6cba5399d3115c8,935,1210,110,74,110,84,0
34,page-034.png,321529,533095de85bb05b774696d1da5e309d02a41819305b80df715eea4828cd4ff37,935,1210,109,74,110,95,0
35,page-035.png,255478,a45b25d33a7c3ebb96216648826a06534d7d9feb0d07dc3464ecf41a55a8fbd6,935,1210,110,175,110,60,0
36,page-036.png,290435,2ef9bfad0940edcb99aa90958d87d1ac60dc36c6d1e570e7005da2f71b74aa5c,935,1210,110,74,109,84,0
37,page-037.png,317391,e124e6e25631a4659518b9a1690532dbf517065bed627217388bf9676bbb0431,935,1210,110,74,109,84,0
38,page-038.png,300853,4c55107ebbcbdd94156f857a36f2badf289c79609d1421ad3f6a0d6a39a5d220,935,1210,109,74,109,84,0
39,page-039.png,322667,9db258011f0c8424d40deb78cd10446fc669a3f33f55aee509c545bcbcc88a0a,935,1210,110,74,109,84,0
40,page-040.png,312976,1d7ad7ed74fed5f964cf20849137b2148c41be04d200a1270f39dd361c68529e,935,1210,110,74,110,84,0
41,page-041.png,278046,73f63b7b7e59165eb0ccabab9aabcf0601710b2fd1b9bcd4fc12327a0f1f0d36,935,1210,109,74,109,84,0
42,page-042.png,327639,7167faf66189358f1e95fdb46028e42f22156bc29ade0c7e293580e04866fa6a,935,1210,110,74,109,87,0
43,page-043.png,276008,e1b8ea63721d6368e26cb3c609eb99a53be8c39e1bc6e8d4b1b34d7ef61faacd,935,1210,109,74,110,87,0
44,page-044.png,202355,2843c2e79a7945ee5572b953999e906fd41103e53847067b08e38fb7bbcec8c6,935,1210,109,74,109,84,0
45,page-045.png,317191,0dd5e1c87bae842d27894fef79d5892f45f3a0cdfb02383fe7a15f531b5963b6,935,1210,110,74,109,84,0
46,page-046.png,294768,31a9412fdf2d089810626a8e72c23af37a24ac857a52b1059a71752d2c6b3a13,935,1210,109,74,110,84,0
47,page-047.png,265571,982adb5559379ce72cc8f40b62fa01225754b8f0526488a5510725fbe26d730c,935,1210,110,74,109,84,0
48,page-048.png,328521,86f7087cf0b940306a876e0869860de35ac8497495cc437ea5e555b82e4fc7c9,935,1210,110,74,109,84,0
49,page-049.png,308312,078b1164019bf6e6cb1c6ce080b93b85412647dfbe14ff0bbbc389a6251e7eb1,935,1210,109,74,110,84,0
50,page-050.png,280752,e48ce212544e224d3aa536f86cd9eee5460fd1a9ffea120fe39077a374ac773b,935,1210,110,74,109,84,0
51,page-051.png,300332,38efa86ecdef4f7745b7bad36012a958333112f3ec1b2cbd03e23c263ad75c4f,935,1210,109,74,110,84,0
52,page-052.png,283369,cbf9659188d569bea7542afbe456d8eb2e5ed722fa8ceacf04b9aef92e9a1e48,935,1210,110,74,109,84,0
53,page-053.png,321005,aeb3d7fa1e849b301008573b7784700bd07f6efc0a561f1f11ae69b7b2c378aa,935,1210,109,74,109,84,0
54,page-054.png,355392,2b4e84b80fc3637640de803b0e637bfc1f948bdbb161b83f00aa71e2c81c5df5,935,1210,110,74,109,84,0
55,page-055.png,231250,143c41743f5f373ce4d3eb87ef4c961633f5d3db133ad831c1555921e2ad355b,935,1210,110,74,109,328,0
56,page-056.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
57,page-057.png,269714,3836abf1a71b5e33dbda57a3cf6a8816ae9f49f87b1f003a1d9b9aabae2cfad1,935,1210,109,175,109,60,0
58,page-058.png,259865,bfb8e8e0c33b625ac43571d430f4304766265d3a1bb9b7cbde9fbbe9e2344666,935,1210,109,74,110,83,0
59,page-059.png,257716,773f410aba3bdd871cafa8f9247a78dd18cfed7ad086db3ff713ad305760db94,935,1210,109,74,109,84,0
60,page-060.png,286922,be7f8d85d923f44dfe7519cc93301beeff136050c80e9693efb3b19b6dfeedcd,935,1210,110,74,109,87,0
61,page-061.png,243037,06e7850d3b54fa3ca8f1b578412521fd23f3d2f58bec196ab8e5aa9d8ac0861d,935,1210,110,74,109,83,0
62,page-062.png,281420,1be252b8a8443be0b7f4779ef59bf2964e293ff7ae364981893d391199f07aa7,935,1210,109,74,109,84,0
63,page-063.png,272181,562598f39fe0e29dbddaa937243c07f3a23af416db9da45a79d340294cc90c38,935,1210,110,74,109,81,0
64,page-064.png,308524,5a8fd3a730965432e1798f879d9e0be023e9e505d01dabb036fab6f4e1efd6e4,935,1210,110,74,109,84,0
65,page-065.png,296143,31412a012f949bb79ea2f768d3cfa03035e8d10691a712a4ddc9b8117f814662,935,1210,109,72,109,84,0
66,page-066.png,284583,281d6e59f7b93a2db0e69332119342b6d7ca5b16ce991885fefb17161a585ad0,935,1210,109,74,109,84,0
67,page-067.png,307409,0b8b7dbdeabe3810a43ecec1075b60768f72a47b2dffa3c6956ace75613c53ce,935,1210,109,74,110,84,0
68,page-068.png,234101,6e415ce189f6db514f301fe591b47a266360895d64bc4a35cc890ef76b902616,935,1210,110,74,109,84,0
69,page-069.png,240706,720d8a611a030f9da59a8a77b30dc40e18b3ff57d1d5fe6dc44877f85c26764f,935,1210,110,74,110,84,0
70,page-070.png,237552,72326444a0548bf9df48fa74d45dced0ac7290f866670eacdbe51114f1288bc4,935,1210,110,74,110,84,0
71,page-071.png,240702,ac27e2848bb690cb5cdbe3961a2d8092316c9b4da966ff2252dd6cdf377df29b,935,1210,110,74,110,84,0
72,page-072.png,247694,bc0cd54f834c50677df0984ac572ec3dc883cc80ed7842242228c5960ba6e261,935,1210,110,74,109,184,0
73,page-073.png,255725,bee21b742fad27ccd2011951edfbbf13fbe0b9919ef19f146977a02b028d9e0a,935,1210,109,175,109,60,0
74,page-074.png,287390,ff071357dd46b3efc8d9a9f4d1fdae0c178dd6d23f6f9434cc40e6726e3e7243,935,1210,110,74,109,84,0
75,page-075.png,262210,c1096f45f01d943c914de0b2907b95194ac8fb23120da7a3ffee17fa49caea19,935,1210,110,74,109,84,0
