page,file,bytes,sha256,width_px,height_px,ink_left_px,ink_top_px,ink_right_px,ink_bottom_px,outer_5px_ink
1,page-001.png,38981,3ffe3c61ceb94828e278ea286d419825009d34f6c05530730ae27ebf25e3ef89,935,1210,138,123,293,652,0
2,page-002.png,152011,0d550d318ea31844355566d2f217d82f751fc82c649ed569899ebc8079b2529c,935,1210,110,134,110,700,0
3,page-003.png,173392,af42ed6014884a09c513042e9d0c0f4503c94cdf97d0ee78b48a28d0a187ebe4,935,1210,110,225,110,61,0
4,page-004.png,192777,4068e27dc4a1747fea0bc0d68ed47911e9f6e76d3579e4a13b485d4f78ceac53,935,1210,110,74,110,87,0
5,page-005.png,23179,88330dfd2137e84de66dea208db1c4f946a499c9ac07030cdd4b3f68b37564f2,935,1210,110,74,110,986,0
6,page-006.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
7,page-007.png,301784,6e7b02e4990147d62b280905d6a90aec0b53c42f6287f80eba705ba6b77cbe66,935,1210,110,175,110,61,0
8,page-008.png,337437,c8334151f7524228771ca82f689459c05965fd4f9661b907904a9891895ea0eb,935,1210,109,74,109,84,0
9,page-009.png,303386,1729f2cb551595681e97a01f87fb8a8a196c6b536217afbb4e2e99fc47366762,935,1210,110,74,109,83,0
10,page-010.png,295720,d3f9ad4882c642e0e9ab1327b6df2d5487009426b4cfef130ad14b5f586fcbaa,935,1210,110,74,109,84,0
11,page-011.png,301316,c8f569533300b34b95fd1bff1b9e59f772966b6a33eec485c57aac6fdec5e9c4,935,1210,110,74,109,84,0
12,page-012.png,276128,f32b9a60bd4d59100d8b30c5d6e3795616abaf4cbc715dfd2bf506e8104d13c5,935,1210,110,74,109,95,0
13,page-013.png,248183,898d20ada3d3f4aaf93a934e20e90e7836071384beff7e72956a71909bbc955c,935,1210,109,74,109,84,0
14,page-014.png,246425,ee9d18b7297a7e5c2a0d6c2697ad1fcfe84a5b65071987fe0589614c0324366d,935,1210,110,74,110,84,0
15,page-015.png,252618,39bbede9d78471d27b9fef6ba0862d4e07f56ae2aa154a329d3bfce6c8f52709,935,1210,109,74,109,84,0
16,page-016.png,261700,0e8f9a327d5c846f4b02c5a177aeaf0e442fdc16c9675351895af383333e1216,935,1210,110,74,109,87,0
17,page-017.png,274163,359b891d7abb7b7b404c196240bdf5b46fd89d205ee47db9c8332c37bf893c95,935,1210,110,74,109,87,0
18,page-018.png,257335,5db498307d031609030291d5522324e5cc82d8092a816972d3665119545a6027,935,1210,109,74,109,84,0
19,page-019.png,323751,fd7e84191556103b6b10660f6854ee08ec3dbb1a1ee0b883b2f7202c54dfad23,935,1210,110,74,109,84,0
20,page-020.png,320275,1d952f1f2fecab915d8b169deddbb598f71c3c6718e6d8ca12ebcaa2d6656ce7,935,1210,109,74,109,84,0
21,page-021.png,181824,9d1fcff4518d3621a97a9e87650ab6a6e55129df83bf6bae226cee5f52dee199,935,1210,109,74,109,456,0
22,page-022.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
23,page-023.png,279648,a9e375a32f1d8a31ff760b2c7dd5ff376502df2e089a1972e096d2a793d6a41e,935,1210,110,175,110,60,0
24,page-024.png,325519,b4f09fbbe6c4792fed3e1c1a887d732db3f7e996713b5bc7a32d6ef606337985,935,1210,110,74,110,84,0
25,page-025.png,354169,02689d3260fafd17cb5183e7176d847d064999061fd51e916118b1a1d8d191e4,935,1210,110,74,110,84,0
26,page-026.png,337096,4ba38a1c2833b38438989d0e346c02a24627b9e92a7fa0024f3eeab9931eff29,935,1210,109,74,109,84,0
27,page-027.png,328348,c3bdbb515b6e06f82a8d35fa81349ec31d582ad7a307348bb6cba5399d3115c8,935,1210,110,74,110,84,0
28,page-028.png,321529,533095de85bb05b774696d1da5e309d02a41819305b80df715eea4828cd4ff37,935,1210,109,74,110,95,0
29,page-029.png,255478,a45b25d33a7c3ebb96216648826a06534d7d9feb0d07dc3464ecf41a55a8fbd6,935,1210,110,175,110,60,0
30,page-030.png,290435,2ef9bfad0940edcb99aa90958d87d1ac60dc36c6d1e570e7005da2f71b74aa5c,935,1210,110,74,109,84,0
31,page-031.png,317391,e124e6e25631a4659518b9a1690532dbf517065bed627217388bf9676bbb0431,935,1210,110,74,109,84,0
32,page-032.png,300853,4c55107ebbcbdd94156f857a36f2badf289c79609d1421ad3f6a0d6a39a5d220,935,1210,109,74,109,84,0
33,page-033.png,322667,9db258011f0c8424d40deb78cd10446fc669a3f33f55aee509c545bcbcc88a0a,935,1210,110,74,109,84,0
34,page-034.png,312976,1d7ad7ed74fed5f964cf20849137b2148c41be04d200a1270f39dd361c68529e,935,1210,110,74,110,84,0
35,page-035.png,278046,73f63b7b7e59165eb0ccabab9aabcf0601710b2fd1b9bcd4fc12327a0f1f0d36,935,1210,109,74,109,84,0
36,page-036.png,327367,31b21d66f0c6e17ccabdd3d43b6c31add0a531eb55aeec3f27acc588d46de4f0,935,1210,110,74,109,87,0
37,page-037.png,276008,e1b8ea63721d6368e26cb3c609eb99a53be8c39e1bc6e8d4b1b34d7ef61faacd,935,1210,109,74,110,87,0
38,page-038.png,202355,2843c2e79a7945ee5572b953999e906fd41103e53847067b08e38fb7bbcec8c6,935,1210,109,74,109,84,0
39,page-039.png,317191,0dd5e1c87bae842d27894fef79d5892f45f3a0cdfb02383fe7a15f531b5963b6,935,1210,110,74,109,84,0
40,page-040.png,294768,31a9412fdf2d089810626a8e72c23af37a24ac857a52b1059a71752d2c6b3a13,935,1210,109,74,110,84,0
41,page-041.png,265571,982adb5559379ce72cc8f40b62fa01225754b8f0526488a5510725fbe26d730c,935,1210,110,74,109,84,0
42,page-042.png,328521,86f7087cf0b940306a876e0869860de35ac8497495cc437ea5e555b82e4fc7c9,935,1210,110,74,109,84,0
43,page-043.png,308312,078b1164019bf6e6cb1c6ce080b93b85412647dfbe14ff0bbbc389a6251e7eb1,935,1210,109,74,110,84,0
44,page-044.png,280752,e48ce212544e224d3aa536f86cd9eee5460fd1a9ffea120fe39077a374ac773b,935,1210,110,74,109,84,0
45,page-045.png,300332,38efa86ecdef4f7745b7bad36012a958333112f3ec1b2cbd03e23c263ad75c4f,935,1210,109,74,110,84,0
46,page-046.png,283369,cbf9659188d569bea7542afbe456d8eb2e5ed722fa8ceacf04b9aef92e9a1e48,935,1210,110,74,109,84,0
47,page-047.png,321000,997e6cfe28b1cf52e7eb9c65df991256e1aa0326d73fc2ffbd0f769e993a8269,935,1210,109,74,109,84,0
48,page-048.png,355392,2b4e84b80fc3637640de803b0e637bfc1f948bdbb161b83f00aa71e2c81c5df5,935,1210,110,74,109,84,0
49,page-049.png,231250,143c41743f5f373ce4d3eb87ef4c961633f5d3db133ad831c1555921e2ad355b,935,1210,110,74,109,328,0
50,page-050.png,5069,a661ea84d1a7854b4f3122f407cfa8848d51cc4c6c1a7a02d489a13a70e2fca4,935,1210,,,,,0
51,page-051.png,269374,6fa9136a6e9eac49845f5ad69edb1e204fd263bdbc5b41a6d69bb87b3741c6ca,935,1210,109,175,109,60,0
